product_id,product_name,category,unit_cost,list_price,product_tier
P0143,Analytics Pro Plus,Software,55.85,113.33,Core
P0144,Vacuum Cleaner Pro,Home,685.83,1374.32,Core
P0145,Phone Case Max,Accessories,271.54,441.15,Seasonal
P0146,Smart Bulb 2026,Home,648.64,957.19,Premium
P0147,Resistance Set Lite,Fitness,252.65,493.38,Premium
P0148,USB-C Cable 2025,Accessories,272.26,633.48,Core
P0149,Monitor 2025,Office,810.81,1052.42,Premium
P0150,Mouse Plus,Office,614.68,817.68,Core
P0151,Analytics Pro Plus,Software,371.63,599.06,Seasonal
P0152,Laptop Stand Plus,Accessories,1078.45,1389.25,Core
P0153,Resistance Set Max,Fitness,925.13,1222.65,Seasonal
P0154,Smart Scale 2025,Fitness,125.49,196.48,Seasonal
P0155,Phone Case Plus,Accessories,900.68,1402.64,Premium
P0156,Smartwatch 2025,Electronics,324.4,713.04,Core
P0157,Analytics Pro Max,Software,500.5,1033.33,Seasonal
P0158,Wireless Earbuds Lite,Electronics,243.36,408.4,Seasonal
P0159,Keyboard Plus,Office,553.25,960.25,Core
P0160,Cloud Backup Lite,Software,294.57,560.81,Core
P0161,Laptop Stand 2025,Accessories,473.17,783.88,Core
P0162,Phone Case Pro,Accessories,230.0,446.16,Core
P0163,Desk Lamp 2026,Office,314.43,419.7,Seasonal
P0164,Mixer Grinder Plus,Home,18.98,42.59,Premium
P0165,Smartwatch 2025,Electronics,218.48,448.73,Premium
P0166,Wireless Earbuds Max,Electronics,479.4,649.25,Premium
P0167,Analytics Pro Pro,Software,306.7,591.5,Seasonal
P0168,Analytics Pro Plus,Software,499.45,667.49,Seasonal
P0169,Mixer Grinder Pro,Home,493.02,919.13,Seasonal
P0170,Team Collaboration Plus,Software,747.26,1267.2,Premium
P0171,Mixer Grinder Max,Home,770.05,1257.65,Seasonal
P0172,Yoga Mat 2026,Fitness,1030.26,1372.81,Premium
P0173,Mouse Max,Office,651.05,1418.02,Core
P0174,Bluetooth Speaker Lite,Electronics,599.33,860.82,Core
P0175,Laptop Stand 2025,Accessories,441.96,575.92,Premium
P0176,Smartwatch 2026,Electronics,844.35,1436.39,Core
P0177,Power Bank Max,Electronics,1043.83,1475.38,Core
P0178,Phone Case Lite,Accessories,423.24,799.97,Premium
P0179,Phone Case Pro,Accessories,45.73,86.88,Core
P0180,Team Collaboration Max,Software,689.43,1001.4,Seasonal
P0181,USB-C Cable Max,Accessories,917.77,1371.52,Core
P0182,Smart Scale 2025,Fitness,121.84,200.88,Core
P0183,Cloud Backup 2026,Software,639.81,1301.15,Premium
P0184,Resistance Set Plus,Fitness,521.05,695.14,Seasonal
P0185,Mixer Grinder 2026,Home,429.62,751.29,Seasonal
P0186,Team Collaboration Max,Software,986.14,1278.54,Seasonal
P0187,USB-C Cable Lite,Accessories,125.09,229.98,Core
P0188,Monitor Plus,Office,508.43,970.57,Seasonal
P0189,Wireless Earbuds Lite,Electronics,349.24,676.67,Premium
P0190,Bluetooth Speaker Max,Electronics,51.32,79.48,Core
P0191,Cloud Backup Max,Software,527.44,816.8,Core
P0192,Resistance Set 2025,Fitness,810.38,1321.47,Core
P0193,Resistance Set Lite,Fitness,132.77,263.32,Core
P0194,Cloud Backup Plus,Software,258.1,418.67,Seasonal
P0195,Travel Adapter Max,Accessories,330.27,555.86,Core
P0196,Analytics Pro Plus,Software,170.14,327.45,Seasonal
P0197,Travel Adapter Max,Accessories,462.51,700.18,Seasonal
P0198,Mixer Grinder 2025,Home,865.8,1195.64,Core
P0199,USB-C Cable 2025,Accessories,226.2,321.8,Core
P0200,Monitor Max,Office,692.7,1470.31,Premium
P0201,Yoga Mat 2025,Fitness,46.87,62.43,Seasonal
P0202,Keyboard Lite,Office,841.78,1173.77,Core
P0203,Travel Adapter 2025,Accessories,272.63,436.62,Seasonal
P0204,Keyboard Lite,Office,267.24,489.41,Seasonal
P0205,Smartwatch 2025,Electronics,525.68,947.29,Premium
P0206,Mixer Grinder Max,Home,179.49,408.67,Premium
P0207,Monitor Max,Office,875.46,1457.44,Core
P0208,Travel Adapter 2025,Accessories,854.17,1149.2,Premium
P0209,Vacuum Cleaner Plus,Home,419.14,827.18,Seasonal
P0210,Phone Case Max,Accessories,685.74,1090.94,Core
P0211,Wireless Earbuds Max,Electronics,656.9,930.07,Seasonal
P0212,Mouse 2026,Office,462.56,816.1,Core
P0213,Smart Bulb Max,Home,512.33,854.61,Core
P0214,Keyboard 2025,Office,343.16,751.99,Core
P0215,Vacuum Cleaner Max,Home,573.05,1287.5,Core
P0216,Mixer Grinder 2026,Home,292.5,557.7,Core
P0217,Resistance Set 2026,Fitness,164.99,230.89,Premium
P0218,Phone Case Max,Accessories,435.05,686.86,Core
P0219,Travel Adapter 2025,Accessories,313.44,483.03,Core
P0220,Smart Scale Lite,Fitness,423.56,854.67,Seasonal
P0221,Mixer Grinder Pro,Home,467.41,883.77,Seasonal
P0222,USB-C Cable Plus,Accessories,519.12,820.98,Seasonal
P0223,Yoga Mat 2025,Fitness,778.91,1483.97,Seasonal
P0224,Wireless Earbuds 2026,Electronics,164.62,261.53,Core
P0225,Mouse Pro,Office,47.04,96.47,Core
P0226,Desk Lamp Max,Office,167.11,318.67,Premium
P0227,Power Bank Plus,Electronics,489.87,907.6,Premium
P0228,Yoga Mat 2026,Fitness,701.47,1481.69,Core
P0229,USB-C Cable Lite,Accessories,509.09,719.52,Seasonal
P0230,Power Bank Max,Electronics,664.74,1407.35,Seasonal
P0231,Air Purifier 2026,Home,573.82,1323.15,Seasonal
P0232,Vacuum Cleaner Pro,Home,246.69,534.95,Core
P0233,Analytics Pro Lite,Software,286.57,618.65,Core
P0234,Fitness Band Lite,Fitness,38.42,49.8,Core
P0235,Yoga Mat 2025,Fitness,668.52,1382.79,Core
P0236,Team Collaboration Pro,Software,557.96,1132.17,Premium
P0237,Air Purifier Plus,Home,454.22,1018.66,Core
P0238,Yoga Mat Max,Fitness,502.01,972.08,Seasonal
P0239,Fitness Band 2026,Fitness,77.04,180.64,Premium
P0240,Analytics Pro Pro,Software,581.44,1012.24,Premium
P0241,Laptop Stand Lite,Accessories,354.46,588.55,Premium
P0242,Design Suite Max,Software,696.31,1402.15,Seasonal
P0243,Mouse 2025,Office,648.13,845.74,Premium
P0244,Cloud Backup 2026,Software,382.92,811.15,Seasonal
P0245,Analytics Pro Pro,Software,990.8,1272.35,Core
P0246,Analytics Pro Max,Software,201.73,459.82,Core
P0247,Analytics Pro 2025,Software,293.07,590.82,Core
P0248,Fitness Band Lite,Fitness,16.7,33.39,Seasonal
P0249,Mouse 2025,Office,541.95,1059.7,Premium
P0250,Cloud Backup Pro,Software,398.06,813.98,Core
P0251,Mouse Pro,Office,389.13,582.5,Core
P0252,Mouse Lite,Office,491.69,668.35,Seasonal
P0253,Design Suite Pro,Software,577.86,756.11,Core
P0254,Cloud Backup Max,Software,58.42,91.71,Core
P0255,Vacuum Cleaner 2026,Home,383.36,850.5,Seasonal
P0256,Bluetooth Speaker Lite,Electronics,733.6,1092.89,Premium
P0257,Phone Case Pro,Accessories,476.88,855.7,Premium
P0258,Smart Scale Lite,Fitness,374.73,531.64,Seasonal
P0259,Power Bank Lite,Electronics,743.38,1405.41,Premium
P0260,Yoga Mat 2026,Fitness,789.99,1321.18,Premium
P0261,Cloud Backup Pro,Software,307.9,476.74,Core
P0262,USB-C Cable 2025,Accessories,722.01,1199.37,Core
P0263,Keyboard Max,Office,322.21,423.35,Premium
P0264,Smart Bulb 2025,Home,748.44,1075.95,Core
P0265,Laptop Stand Max,Accessories,633.04,1094.42,Core
P0266,Analytics Pro Lite,Software,896.23,1417.04,Premium
P0267,Desk Lamp Max,Office,586.97,862.33,Premium
P0268,Vacuum Cleaner Max,Home,77.01,162.22,Premium
P0269,Fitness Band Lite,Fitness,219.88,328.29,Core
P0270,Monitor 2025,Office,694.19,1247.35,Premium
P0271,Power Bank 2026,Electronics,833.72,1244.74,Core
P0272,Wireless Earbuds 2025,Electronics,817.38,1398.74,Seasonal
P0273,Mixer Grinder Max,Home,410.13,611.01,Core
P0274,Laptop Stand Lite,Accessories,378.83,579.58,Seasonal
P0275,Keyboard Plus,Office,44.38,99.98,Seasonal
P0276,Cloud Backup Pro,Software,295.04,523.81,Seasonal
P0277,Travel Adapter Max,Accessories,128.17,211.82,Seasonal
P0278,Team Collaboration Plus,Software,546.25,1046.96,Seasonal
P0279,Mixer Grinder 2025,Home,606.48,927.56,Core
P0280,Smartwatch 2025,Electronics,908.11,1407.75,Premium
P0281,Keyboard 2025,Office,422.99,608.59,Seasonal
P0282,Smart Bulb Max,Home,148.4,294.97,Premium
P0283,Smart Scale Lite,Fitness,493.28,802.94,Seasonal
P0284,Mixer Grinder Pro,Home,158.72,225.55,Seasonal
P0285,Power Bank 2026,Electronics,65.04,84.45,Core
P0286,Resistance Set 2026,Fitness,739.71,1405.22,Seasonal
P0287,Travel Adapter Plus,Accessories,1067.84,1415.52,Seasonal
P0288,Design Suite 2025,Software,585.89,826.12,Premium
P0289,Smartwatch Plus,Electronics,229.73,326.44,Premium
P0290,Analytics Pro Max,Software,319.43,676.57,Core
P0291,Resistance Set Plus,Fitness,415.38,601.84,Seasonal
P0292,Yoga Mat 2026,Fitness,710.1,1450.09,Seasonal
P0293,Design Suite Pro,Software,325.96,744.36,Premium
P0294,Vacuum Cleaner Plus,Home,143.99,268.87,Premium
P0295,Smart Scale 2025,Fitness,80.7,171.41,Core
P0296,Vacuum Cleaner Plus,Home,420.21,569.04,Premium
P0297,Wireless Earbuds Pro,Electronics,27.59,54.72,Core
P0298,Power Bank Lite,Electronics,837.69,1154.16,Core
P0299,Design Suite Plus,Software,23.3,33.39,Core
P0300,Cloud Backup 2026,Software,756.34,1041.87,Seasonal
P0301,Mouse 2025,Office,706.12,927.99,Premium
P0302,Smart Bulb 2026,Home,810.9,1226.14,Core
P0303,Smartwatch Pro,Electronics,475.74,1115.7,Premium
P0304,Wireless Earbuds Pro,Electronics,422.03,878.32,Premium
P0305,Team Collaboration Lite,Software,540.75,740.76,Core
P0306,Wireless Earbuds Plus,Electronics,397.11,562.49,Premium
P0307,Monitor 2025,Office,549.57,803.71,Core
P0308,Team Collaboration 2025,Software,179.7,308.56,Seasonal
P0309,Cloud Backup 2025,Software,1121.16,1493.82,Core
P0310,Bluetooth Speaker 2025,Electronics,216.28,309.88,Seasonal
P0311,Bluetooth Speaker Plus,Electronics,856.53,1346.42,Premium
P0312,Phone Case 2025,Accessories,663.99,1425.75,Premium
P0313,Smartwatch Plus,Electronics,251.35,541.39,Core
P0314,Phone Case Pro,Accessories,795.02,1419.58,Premium
P0315,Bluetooth Speaker Lite,Electronics,720.95,1051.57,Seasonal
P0316,Cloud Backup Plus,Software,756.5,970.95,Premium
P0317,Wireless Earbuds Max,Electronics,96.6,124.92,Premium
P0318,Resistance Set Lite,Fitness,334.86,523.68,Core
P0319,Phone Case Max,Accessories,314.27,647.03,Core
P0320,Resistance Set Lite,Fitness,624.45,1481.47,Premium
P0321,Smart Bulb Lite,Home,978.9,1280.51,Core
P0322,Power Bank Max,Electronics,627.14,1099.17,Premium
P0323,Vacuum Cleaner Lite,Home,229.5,332.24,Core
P0324,Travel Adapter Lite,Accessories,770.84,997.1,Seasonal
P0325,Team Collaboration Max,Software,771.59,995.29,Premium
P0326,Analytics Pro Pro,Software,530.97,796.33,Premium
P0327,Cloud Backup 2026,Software,1062.78,1448.92,Seasonal
P0328,Analytics Pro Pro,Software,749.15,979.14,Premium
P0329,Cloud Backup 2026,Software,572.83,1000.58,Premium
P0330,Air Purifier 2025,Home,1013.78,1307.65,Core
P0331,Travel Adapter 2025,Accessories,176.98,365.74,Core
P0332,Mouse Lite,Office,784.98,1411.85,Seasonal
P0333,Monitor 2025,Office,1002.64,1455.18,Seasonal
P0334,Fitness Band 2026,Fitness,382.59,605.12,Seasonal
P0335,Smart Scale 2025,Fitness,577.46,744.3,Premium
P0336,Power Bank 2025,Electronics,24.04,38.93,Seasonal
P0337,Air Purifier Pro,Home,216.16,306.49,Core
P0338,Team Collaboration 2025,Software,265.73,359.79,Premium
P0339,Team Collaboration Max,Software,931.4,1341.86,Premium
P0340,Analytics Pro Lite,Software,293.88,652.53,Premium
P0341,Team Collaboration 2025,Software,577.6,901.12,Premium
P0342,Bluetooth Speaker Plus,Electronics,658.92,893.08,Core
P0343,USB-C Cable 2025,Accessories,498.75,690.64,Premium
P0344,USB-C Cable Max,Accessories,537.99,1255.21,Premium
P0345,Monitor Max,Office,325.58,458.59,Seasonal
P0346,Analytics Pro 2026,Software,374.75,867.05,Core
P0347,Smart Bulb 2026,Home,230.21,455.0,Seasonal
P0348,Phone Case Lite,Accessories,299.53,499.94,Core
P0349,Smart Bulb 2026,Home,742.23,1333.55,Premium
P0350,Analytics Pro Max,Software,540.61,1134.76,Premium
P0351,Design Suite Pro,Software,147.31,207.7,Premium
P0352,Mouse Lite,Office,114.52,160.0,Core
P0353,Smart Bulb 2026,Home,58.86,79.88,Core
P0354,Travel Adapter 2026,Accessories,810.23,1233.93,Core
P0355,Design Suite 2026,Software,375.75,709.59,Core
P0356,Team Collaboration 2026,Software,743.02,1114.11,Core
P0357,Laptop Stand Max,Accessories,746.21,1027.54,Premium
P0358,Yoga Mat 2025,Fitness,723.79,1338.68,Premium
P0359,Fitness Band 2026,Fitness,227.23,330.57,Core
P0360,Smart Scale 2025,Fitness,534.4,1026.71,Seasonal
P0361,Cloud Backup Plus,Software,535.01,1154.14,Premium
P0362,Vacuum Cleaner Pro,Home,609.68,1410.54,Premium
P0363,Phone Case Max,Accessories,761.52,1179.33,Seasonal
P0364,Mouse 2025,Office,180.92,273.25,Core
P0365,Cloud Backup 2025,Software,242.53,393.68,Seasonal
P0366,Desk Lamp Pro,Office,234.79,356.61,Core
P0367,Wireless Earbuds 2025,Electronics,880.45,1318.02,Core
P0368,Fitness Band 2026,Fitness,837.82,1074.79,Premium
P0369,Cloud Backup Plus,Software,368.29,715.07,Core
P0370,Mixer Grinder Plus,Home,893.41,1448.19,Premium
P0371,Vacuum Cleaner Max,Home,119.87,259.38,Premium
P0372,Bluetooth Speaker 2026,Electronics,642.24,1087.82,Premium
P0373,Travel Adapter Pro,Accessories,158.12,321.74,Seasonal
P0374,Smartwatch 2025,Electronics,139.02,327.9,Premium
P0375,Phone Case Plus,Accessories,705.36,974.29,Seasonal
P0376,Cloud Backup 2025,Software,712.52,1176.57,Premium
P0377,Smart Scale 2025,Fitness,642.83,972.77,Seasonal
P0378,Phone Case 2025,Accessories,221.79,348.88,Core
P0379,Keyboard Plus,Office,679.8,1231.35,Seasonal
P0380,Desk Lamp Lite,Office,74.54,127.03,Premium
P0381,Smart Bulb Max,Home,393.34,585.1,Core
P0382,Cloud Backup Pro,Software,271.12,355.19,Core
P0383,Yoga Mat Plus,Fitness,113.26,246.87,Premium
P0384,Mixer Grinder 2025,Home,610.37,1112.5,Seasonal
P0385,Keyboard Pro,Office,311.18,668.83,Premium
P0386,Travel Adapter Plus,Accessories,232.6,392.74,Premium
P0387,Resistance Set 2026,Fitness,796.86,1063.53,Core
P0388,Cloud Backup Lite,Software,275.23,480.25,Core
P0389,USB-C Cable Pro,Accessories,568.63,921.35,Premium
P0390,Bluetooth Speaker Plus,Electronics,567.44,877.49,Seasonal
P0391,Mouse Plus,Office,234.73,542.26,Seasonal
P0392,Smart Bulb Pro,Home,727.61,1427.61,Core
P0393,USB-C Cable 2025,Accessories,443.92,725.41,Seasonal
P0394,Monitor Max,Office,775.7,1270.38,Core
P0395,Wireless Earbuds Pro,Electronics,596.08,1083.36,Core
P0396,Cloud Backup Pro,Software,625.74,1219.11,Seasonal
P0397,Fitness Band 2025,Fitness,31.28,41.55,Premium
P0398,Team Collaboration 2025,Software,677.29,967.78,Premium
P0399,Resistance Set Pro,Fitness,68.46,112.3,Seasonal
P0400,Wireless Earbuds Max,Electronics,631.32,1378.4,Premium
P0401,Vacuum Cleaner Lite,Home,689.44,1402.1,Seasonal
P0402,Resistance Set Max,Fitness,754.92,1425.29,Seasonal
P0403,Laptop Stand Max,Accessories,10.2,22.16,Premium
P0404,Monitor Lite,Office,265.55,575.07,Core
P0405,Monitor Plus,Office,101.4,173.03,Seasonal
P0406,Team Collaboration Lite,Software,38.52,77.37,Core
P0407,Desk Lamp Lite,Office,489.1,702.81,Seasonal
P0408,Bluetooth Speaker Lite,Electronics,735.76,1328.24,Core
P0409,Design Suite 2025,Software,729.06,1304.81,Seasonal
P0410,Keyboard 2025,Office,517.23,1163.95,Core
P0411,Power Bank Plus,Electronics,963.13,1391.74,Core
P0412,Bluetooth Speaker Pro,Electronics,911.32,1344.67,Premium
P0413,Laptop Stand 2025,Accessories,577.62,795.62,Seasonal
P0414,Smart Scale 2025,Fitness,440.52,804.36,Core
P0415,Bluetooth Speaker Plus,Electronics,778.41,1124.62,Premium
P0416,Mixer Grinder Max,Home,49.38,94.6,Core
P0417,Keyboard Max,Office,14.89,22.21,Core
P0418,Fitness Band Max,Fitness,947.68,1422.26,Seasonal
P0419,Power Bank 2026,Electronics,676.09,907.88,Premium
P0420,Air Purifier Plus,Home,333.83,542.92,Premium
P0421,Yoga Mat Plus,Fitness,106.96,149.66,Premium
P0422,Vacuum Cleaner 2026,Home,461.98,1079.7,Seasonal
P0423,Team Collaboration Plus,Software,794.66,1197.63,Seasonal
P0424,Vacuum Cleaner 2026,Home,210.08,441.88,Core
P0425,Resistance Set 2026,Fitness,596.84,773.53,Seasonal
P0426,Cloud Backup Plus,Software,175.72,293.53,Core
P0427,Smartwatch Max,Electronics,506.47,1115.15,Premium
P0428,Travel Adapter Plus,Accessories,787.73,1240.15,Core
P0429,Keyboard Lite,Office,452.87,1062.36,Core
P0430,Mixer Grinder Max,Home,164.56,299.94,Premium
P0431,Keyboard Max,Office,949.57,1461.82,Core
P0432,Smart Bulb Plus,Home,897.13,1484.17,Core
P0433,Mouse 2025,Office,461.02,682.03,Premium
P0434,Vacuum Cleaner Max,Home,653.45,907.33,Seasonal
P0435,Phone Case 2026,Accessories,496.52,937.42,Premium
P0436,USB-C Cable Max,Accessories,1014.3,1351.61,Premium
P0437,Air Purifier Lite,Home,298.09,622.8,Seasonal
P0438,USB-C Cable Plus,Accessories,657.67,1124.1,Seasonal
P0439,Wireless Earbuds 2025,Electronics,235.67,381.36,Premium
P0440,Smartwatch Plus,Electronics,579.57,1022.87,Premium
P0441,Phone Case Lite,Accessories,715.97,1238.9,Core
P0442,Phone Case Pro,Accessories,542.59,934.8,Core
P0443,Smart Scale 2025,Fitness,677.15,1011.09,Premium
P0444,Keyboard Pro,Office,803.24,1157.85,Premium
P0445,Laptop Stand Lite,Accessories,78.53,160.15,Premium
P0446,Fitness Band Pro,Fitness,571.16,1136.19,Premium
P0447,Monitor Pro,Office,501.65,988.41,Premium
P0448,Resistance Set 2025,Fitness,599.15,1120.24,Seasonal
P0449,Smart Scale 2025,Fitness,10.18,23.62,Core
